SysuserextraChartView |/sysuserextrachartview |['can_chart']
SysviewfldChartView |/sysviewfldchartview |['can_chart']
SysviewlistChartView |/sysviewlistchartview |['can_chart']
SyswkflowChartView |/syswkflowchartview |['can_chart']
SyswkflowgrpChartView |/syswkflowgrpchartview |['can_chart']
SyswkflowviewseqChartView |/syswkflowviewseqchartview |['can_chart']
TemplatetypeChartView |/templatetypechartview |['can_chart']
TownChartView |/townchartview |['can_chart']
TranscriptChartView |/transcriptchartview |['can_chart']
VehicleChartView |/vehiclechartview |['can_chart']
WardChartView |/wardchartview |['can_chart']
WarranttypeChartView |/warranttypechartview |['can_chart']
