"List of registered views"|"B"|"C"
"View:CourtChartView "|" Route:/courtchartview "|" Perms:['can_chart']"
"View:CourtaccountChartView "|" Route:/courtaccountchartview "|" Perms:['can_chart']"
"View:CourtcaseChartView "|" Route:/courtcasechartview "|" Perms:['can_chart']"
"View:CourtrankChartView "|" Route:/courtrankchartview "|" Perms:['can_chart']"
"View:CourtstationChartView "|" Route:/courtstationchartview "|" Perms:['can_chart']"
"View:CrimeChartView "|" Route:/crimechartview "|" Perms:['can_chart']"
"View:CsiequipmentChartView "|" Route:/csiequipmentchartview "|" Perms:['can_chart']"
"View:DiagramChartView "|" Route:/diagramchartview "|" Perms:['can_chart']"
"View:DisciplineChartView "|" Route:/disciplinechartview "|" Perms:['can_chart']"
"View:DocpartChartView "|" Route:/docpartchartview "|" Perms:['can_chart']"
"View:DoctemplateChartView "|" Route:/doctemplatechartview "|" Perms:['can_chart']"
"View:DocumentChartView "|" Route:/documentchartview "|" Perms:['can_chart']"
"View:DocumenttypeChartView "|" Route:/documenttypechartview "|" Perms:['can_chart']"
"View:EconomicclassChartView "|" Route:/economicclasschartview "|" Perms:['can_chart']"
"View:ExhibitChartView "|" Route:/exhibitchartview "|" Perms:['can_chart']"
"View:ExpertChartView "|" Route:/expertchartview "|" Perms:['can_chart']"
"View:ExperttestimonyChartView "|" Route:/experttestimonychartview "|" Perms:['can_chart']"
"View:ExperttypeChartView "|" Route:/experttypechartview "|" Perms:['can_chart']"
"View:FeeclassChartView "|" Route:/feeclasschartview "|" Perms:['can_chart']"
"View:FeetypeChartView "|" Route:/feetypechartview "|" Perms:['can_chart']"
"View:HealtheventChartView "|" Route:/healtheventchartview "|" Perms:['can_chart']"
"View:HealtheventtypeChartView "|" Route:/healtheventtypechartview "|" Perms:['can_chart']"
"View:HearingChartView "|" Route:/hearingchartview "|" Perms:['can_chart']"
"View:HearingtypeChartView "|" Route:/hearingtypechartview "|" Perms:['can_chart']"
"View:InstancecrimeChartView "|" Route:/instancecrimechartview "|" Perms:['can_chart']"
"View:InterviewChartView "|" Route:/interviewchartview "|" Perms:['can_chart']"
"View:InvestigationdiaryChartView "|" Route:/investigationdiarychartview "|" Perms:['can_chart']"
"View:IssueChartView "|" Route:/issuechartview "|" Perms:['can_chart']"
"View:JudicialofficerChartView "|" Route:/judicialofficerchartview "|" Perms:['can_chart']"
"View:JudicialrankChartView "|" Route:/judicialrankchartview "|" Perms:['can_chart']"
"View:JudicialroleChartView "|" Route:/judicialrolechartview "|" Perms:['can_chart']"
"View:LawChartView "|" Route:/lawchartview "|" Perms:['can_chart']"
"View:LawfirmChartView "|" Route:/lawfirmchartview "|" Perms:['can_chart']"
"View:LawyerChartView "|" Route:/lawyerchartview "|" Perms:['can_chart']"
"View:LegalreferenceChartView "|" Route:/legalreferencechartview "|" Perms:['can_chart']"
"View:NextofkinChartView "|" Route:/nextofkinchartview "|" Perms:['can_chart']"
"View:NotificationChartView "|" Route:/notificationchartview "|" Perms:['can_chart']"
"View:NotificationregisterChartView "|" Route:/notificationregisterchartview "|" Perms:['can_chart']"
"View:NotificationtypeChartView "|" Route:/notificationtypechartview "|" Perms:['can_chart']"
"View:NotifyeventChartView "|" Route:/notifyeventchartview "|" Perms:['can_chart']"
"View:PartyChartView "|" Route:/partychartview "|" Perms:['can_chart']"
"View:PartytypeChartView "|" Route:/partytypechartview "|" Perms:['can_chart']"
"View:PaymentChartView "|" Route:/paymentchartview "|" Perms:['can_chart']"
"View:PersonaleffectChartView "|" Route:/personaleffectchartview "|" Perms:['can_chart']"
"View:PersonaleffectscategoryChartView "|" Route:/personaleffectscategorychartview "|" Perms:['can_chart']"
"View:PoliceofficerChartView "|" Route:/policeofficerchartview "|" Perms:['can_chart']"
"View:PoliceofficerrankChartView "|" Route:/policeofficerrankchartview "|" Perms:['can_chart']"
"View:PolicestationChartView "|" Route:/policestationchartview "|" Perms:['can_chart']"
"View:PolicestationrankChartView "|" Route:/policestationrankchartview "|" Perms:['can_chart']"
"View:PrisonChartView "|" Route:/prisonchartview "|" Perms:['can_chart']"
"View:PrisonofficerChartView "|" Route:/prisonofficerchartview "|" Perms:['can_chart']"
"View:PrisonofficerrankChartView "|" Route:/prisonofficerrankchartview "|" Perms:['can_chart']"
"View:ProsecutorChartView "|" Route:/prosecutorchartview "|" Perms:['can_chart']"
"View:ProsecutorteamChartView "|" Route:/prosecutorteamchartview "|" Perms:['can_chart']"
"View:ReleasetypeChartView "|" Route:/releasetypechartview "|" Perms:['can_chart']"
"View:ReligionChartView "|" Route:/religionchartview "|" Perms:['can_chart']"
"View:SchedulestatustypeChartView "|" Route:/schedulestatustypechartview "|" Perms:['can_chart']"
"View:SeizureChartView "|" Route:/seizurechartview "|" Perms:['can_chart']"
"View:SettlementChartView "|" Route:/settlementchartview "|" Perms:['can_chart']"
"View:SubcountyChartView "|" Route:/subcountychartview "|" Perms:['can_chart']"
"View:SysuserextraChartView "|" Route:/sysuserextrachartview "|" Perms:['can_chart']"
"View:SysviewfldChartView "|" Route:/sysviewfldchartview "|" Perms:['can_chart']"
"View:SysviewlistChartView "|" Route:/sysviewlistchartview "|" Perms:['can_chart']"
"View:SyswkflowChartView "|" Route:/syswkflowchartview "|" Perms:['can_chart']"
"View:SyswkflowgrpChartView "|" Route:/syswkflowgrpchartview "|" Perms:['can_chart']"
"View:SyswkflowviewseqChartView "|" Route:/syswkflowviewseqchartview "|" Perms:['can_chart']"
"View:TemplatetypeChartView "|" Route:/templatetypechartview "|" Perms:['can_chart']"
"View:TownChartView "|" Route:/townchartview "|" Perms:['can_chart']"
"View:TranscriptChartView "|" Route:/transcriptchartview "|" Perms:['can_chart']"
"View:VehicleChartView "|" Route:/vehiclechartview "|" Perms:['can_chart']"
"View:WardChartView "|" Route:/wardchartview "|" Perms:['can_chart']"
"View:WarranttypeChartView "|" Route:/warranttypechartview "|" Perms:['can_chart']"
